epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,6617.55,0.90777,0.57552,1.05071,0.9959,0.96595,0.98106,0.62705,1.33746,0.8032,1.17648,0.000608468,0.000608468,0.000608468
60,6735.99,0.98579,0.63263,1.06064,0.99187,0.9663,0.98106,0.63093,1.33503,0.79482,1.1777,0.000594321,0.000594321,0.000594321
61,6846.16,0.96807,0.607,1.0531,0.99483,0.96825,0.98131,0.65266,1.33565,0.75395,1.18595,0.000580174,0.000580174,0.000580174
62,6957.11,0.95177,0.58612,1.02921,0.99535,0.96731,0.98258,0.64994,1.31832,0.72217,1.16874,0.000566027,0.000566027,0.000566027
63,7067.76,0.9314,0.58676,1.04538,0.99511,0.96825,0.98471,0.63777,1.3601,0.70785,1.17989,0.00055188,0.00055188,0.00055188
64,7185.14,0.92629,0.57291,1.03413,0.99058,0.96825,0.98622,0.6448,1.33619,0.71422,1.17134,0.000537733,0.000537733,0.000537733
65,7299.19,0.92687,0.5578,1.04662,0.9906,0.96825,0.98653,0.63566,1.32545,0.70844,1.17674,0.000523586,0.000523586,0.000523586
66,7411.76,0.95654,0.62862,1.06026,0.98144,0.96825,0.98642,0.63392,1.34869,0.70056,1.1709,0.000509438,0.000509438,0.000509438
67,7524.3,0.90309,0.5657,1.02875,0.99188,0.96825,0.987,0.64641,1.31664,0.68556,1.16324,0.000495291,0.000495291,0.000495291
68,7634.75,0.93481,0.57015,1.0395,0.9897,0.98275,0.98774,0.64144,1.35182,0.70068,1.17987,0.000481144,0.000481144,0.000481144
69,7744.81,0.91816,0.57183,1.03569,0.99074,0.98413,0.98736,0.6201,1.37819,0.71053,1.19015,0.000466997,0.000466997,0.000466997
70,7862.24,0.90297,0.56258,1.0218,0.99142,0.98413,0.98736,0.6461,1.31594,0.6787,1.17327,0.00045285,0.00045285,0.00045285
71,7975.88,0.91387,0.56563,1.03822,0.98536,0.98413,0.98655,0.64575,1.29685,0.65492,1.17342,0.000438703,0.000438703,0.000438703
72,8083.97,0.94628,0.56845,1.04666,0.98978,0.98171,0.98372,0.6323,1.35635,0.67763,1.19297,0.000424556,0.000424556,0.000424556
73,8191.57,0.92548,0.57464,1.03484,0.99626,0.97037,0.98325,0.63294,1.35858,0.68454,1.19879,0.000410409,0.000410409,0.000410409
74,8298.89,0.91503,0.54462,1.02535,0.99206,0.96825,0.98352,0.63277,1.34643,0.68104,1.1975,0.000396262,0.000396262,0.000396262
75,8410.35,0.86691,0.51002,0.99016,0.99444,0.96825,0.98364,0.6284,1.37363,0.68851,1.21215,0.000382115,0.000382115,0.000382115
76,8523.12,0.93591,0.54754,1.04303,0.99506,0.96825,0.98514,0.64114,1.34292,0.68325,1.19804,0.000367967,0.000367967,0.000367967
77,8640.67,0.91357,0.56892,1.03686,0.98873,0.96825,0.98452,0.64483,1.33781,0.68212,1.19768,0.00035382,0.00035382,0.00035382
78,8753.28,0.8705,0.52704,1.03038,0.99283,0.96825,0.98382,0.64647,1.3223,0.67612,1.1925,0.000339673,0.000339673,0.000339673
79,8862,0.89961,0.53545,1.02131,0.99475,0.96759,0.98309,0.65606,1.33153,0.68653,1.20044,0.000325526,0.000325526,0.000325526
80,8989.24,0.88071,0.50838,1.01539,0.996,0.96805,0.98336,0.63967,1.38397,0.70644,1.21166,0.000311379,0.000311379,0.000311379
81,9110.12,0.85723,0.53788,1.04132,0.98431,0.98139,0.98231,0.61556,1.40077,0.71858,1.19808,0.000297232,0.000297232,0.000297232
82,9221.3,0.90643,0.54116,1.04507,0.98807,0.98153,0.98228,0.63632,1.35175,0.6812,1.17629,0.000283085,0.000283085,0.000283085
83,9330.88,0.85565,0.51082,1.01418,0.9896,0.98149,0.98231,0.65035,1.31623,0.66203,1.17645,0.000268938,0.000268938,0.000268938
84,9442.94,0.89406,0.53484,1.01566,0.99306,0.98183,0.98167,0.63279,1.34316,0.66974,1.1923,0.000254791,0.000254791,0.000254791
85,9564.17,0.8874,0.54232,1.03894,0.99542,0.98304,0.98167,0.61985,1.39053,0.69009,1.19973,0.000240644,0.000240644,0.000240644
86,9682.26,0.90999,0.52812,1.01167,0.99187,0.98413,0.98167,0.60987,1.42435,0.6982,1.20941,0.000226497,0.000226497,0.000226497
87,9792.36,0.85695,0.50226,1.00129,0.98635,0.98413,0.98167,0.64157,1.34963,0.68063,1.19075,0.000212349,0.000212349,0.000212349
88,9902.39,0.8638,0.5164,0.99988,0.9774,0.98413,0.98167,0.64826,1.34938,0.68745,1.19487,0.000198202,0.000198202,0.000198202
89,10025.9,0.88417,0.52661,1.01639,0.97132,0.98413,0.98167,0.64853,1.34523,0.68825,1.19215,0.000184055,0.000184055,0.000184055
90,10137.9,0.87248,0.51037,1.01253,0.97607,0.98413,0.98167,0.63916,1.33823,0.67489,1.17954,0.000169908,0.000169908,0.000169908
91,10256.5,0.87793,0.54762,1.02017,0.99112,0.98137,0.98167,0.64097,1.34141,0.69594,1.187,0.000155761,0.000155761,0.000155761
92,10374.7,0.90282,0.55425,1.04254,0.98811,0.98413,0.98167,0.64572,1.32956,0.6984,1.18824,0.000141614,0.000141614,0.000141614
93,10488.9,0.87531,0.53797,1.00943,0.98873,0.98167,0.98167,0.64406,1.32407,0.67855,1.19093,0.000127467,0.000127467,0.000127467
94,10605.2,0.89035,0.54477,1.02384,0.99065,0.97357,0.98167,0.64026,1.32815,0.67848,1.19123,0.00011332,0.00011332,0.00011332
95,10716.3,0.85399,0.53218,1.01134,0.99214,0.96878,0.98167,0.64145,1.32931,0.68021,1.18789,9.91726e-05,9.91726e-05,9.91726e-05
96,10826.9,0.87302,0.5235,1.00543,0.99163,0.96695,0.98167,0.64445,1.31864,0.67978,1.18315,8.50255e-05,8.50255e-05,8.50255e-05
97,10944.6,0.84155,0.5141,1.00325,0.99211,0.96493,0.98167,0.64262,1.31058,0.67607,1.1787,7.08784e-05,7.08784e-05,7.08784e-05
98,11054.5,0.84359,0.5192,0.98618,0.99113,0.96624,0.98167,0.64915,1.30901,0.67547,1.17791,5.67313e-05,5.67313e-05,5.67313e-05
99,11165.8,0.8306,0.50615,0.98858,0.99164,0.96912,0.98167,0.65002,1.31297,0.67405,1.17747,4.25842e-05,4.25842e-05,4.25842e-05
100,11276.9,0.85276,0.50299,0.98579,0.99381,0.97003,0.98167,0.65337,1.31049,0.66178,1.17563,2.84371e-05,2.84371e-05,2.84371e-05
