epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,4667.09,1.08188,0.82136,1.0574,0.99042,1,0.995,0.53982,1.73093,0.7621,1.31287,0.000438703,0.000438703,0.000438703
72,4730.07,1.12109,0.79613,1.07666,0.99295,1,0.995,0.53107,1.74677,0.77446,1.31765,0.000424556,0.000424556,0.000424556
73,4793.65,1.07182,0.81415,1.05104,0.99396,1,0.995,0.53521,1.68152,0.75344,1.26151,0.000410409,0.000410409,0.000410409
74,4856.13,1.14122,0.82893,1.06887,0.99356,1,0.995,0.51153,1.7504,0.74729,1.29895,0.000396262,0.000396262,0.000396262
75,4918.98,1.05539,0.80289,1.04625,0.96243,0.9697,0.94045,0.47714,1.88038,0.78371,1.37595,0.000382115,0.000382115,0.000382115
76,4991.81,1.10522,0.82172,1.08128,0.99063,1,0.995,0.45556,1.93001,0.80686,1.41321,0.000367967,0.000367967,0.000367967
77,5055.54,1.0944,0.8576,1.07987,0.98981,1,0.995,0.47002,1.9101,0.79187,1.40524,0.00035382,0.00035382,0.00035382
78,5119.41,1.1115,0.8038,1.07988,0.99111,1,0.995,0.47819,1.82703,0.77096,1.36168,0.000339673,0.000339673,0.000339673
79,5183.52,1.10064,0.77773,1.07823,0.99347,1,0.995,0.53852,1.63154,0.73986,1.24834,0.000325526,0.000325526,0.000325526
80,5245.36,1.06206,0.80597,1.03832,0.99169,1,0.995,0.5585,1.63322,0.73996,1.24859,0.000311379,0.000311379,0.000311379
81,5307.81,1.08967,0.77538,1.06596,0.98821,1,0.995,0.48671,1.812,0.79292,1.34658,0.000297232,0.000297232,0.000297232
82,5370.85,1.07596,0.81624,1.0709,0.98725,1,0.995,0.45615,1.94749,0.83069,1.42432,0.000283085,0.000283085,0.000283085
83,5433.72,1.10276,0.77386,1.04051,0.98707,1,0.995,0.43379,2.01826,0.83291,1.46665,0.000268938,0.000268938,0.000268938
84,5495.43,1.0619,0.74619,1.04363,0.98595,1,0.995,0.45122,1.94655,0.78082,1.41967,0.000254791,0.000254791,0.000254791
85,5557.92,1.08333,0.74355,1.02346,0.98597,1,0.995,0.48506,1.8745,0.75527,1.38294,0.000240644,0.000240644,0.000240644
86,5633.26,1.04489,0.76247,1.03733,0.98505,1,0.995,0.50358,1.79572,0.7461,1.33777,0.000226497,0.000226497,0.000226497
87,5709.56,1.03408,0.76325,1.04195,0.99002,1,0.995,0.53181,1.65985,0.71813,1.27205,0.000212349,0.000212349,0.000212349
88,5784.97,1.1048,0.76843,1.07779,0.99291,1,0.995,0.51968,1.69244,0.72026,1.27575,0.000198202,0.000198202,0.000198202
89,5865.62,1.03082,0.73642,1.0215,0.99328,1,0.995,0.48649,1.8623,0.76357,1.35211,0.000184055,0.000184055,0.000184055
90,5949.68,1.07478,0.76501,1.03409,0.9639,0.9697,0.94632,0.45723,1.94886,0.80824,1.39944,0.000169908,0.000169908,0.000169908
91,6015.31,0.98909,0.77887,0.99825,0.9645,0.9697,0.94911,0.46482,1.94269,0.82447,1.398,0.000155761,0.000155761,0.000155761
92,6078.27,0.97724,0.81239,0.99352,0.99426,1,0.995,0.50302,1.82197,0.84183,1.33452,0.000141614,0.000141614,0.000141614
93,6141.79,0.96113,0.79724,0.99956,0.99375,1,0.995,0.52768,1.7706,0.8167,1.3097,0.000127467,0.000127467,0.000127467
94,6204.82,0.97429,0.78971,1.00005,0.99313,1,0.995,0.53369,1.73863,0.79082,1.28991,0.00011332,0.00011332,0.00011332
95,6268.66,1.00894,0.79593,1.00406,0.9921,1,0.995,0.54548,1.68366,0.74565,1.25881,9.91726e-05,9.91726e-05,9.91726e-05
96,6331.29,0.96627,0.8052,0.95264,0.99173,1,0.995,0.55083,1.68182,0.73622,1.25644,8.50255e-05,8.50255e-05,8.50255e-05
97,6393.86,1.00251,0.8131,1.00643,0.992,1,0.995,0.55025,1.6743,0.72974,1.24901,7.08784e-05,7.08784e-05,7.08784e-05
98,6456.54,0.96978,0.77784,0.98567,0.99218,1,0.995,0.54975,1.69022,0.73677,1.25555,5.67313e-05,5.67313e-05,5.67313e-05
99,6518.9,0.97638,0.78816,0.99677,0.99249,1,0.995,0.54988,1.69542,0.74204,1.2577,4.25842e-05,4.25842e-05,4.25842e-05
100,6586.44,0.97876,0.77607,1.00035,0.99188,1,0.995,0.55125,1.68444,0.74043,1.25187,2.84371e-05,2.84371e-05,2.84371e-05
